movieId,movieTitle,movieRelease,revenue,audience,screen,screening ,movieNation,movieGrade,movieGenre,movieDirector,movieActors
1353,아일라,2018-06-21,"3,527,000","44,516",1,18,터키,15세이상관람가,"드라마,전쟁",칸 울카이,"김설,이스마일 하지오글루"
1358,부적: 남의 운을 빼앗는 자,2022-09-07,"5,321,500",662,6,46,한국,12세이상관람가,"액션,드라마",김세성,"주영호,권해성,천지유,이용헌,김시아,권회수,김신덕,최준하"
1358,투란도트,2022-08-02,"18,634,600",662,6,64,미국,12세이상관람가,공연,,
1362,히즈 아웃 데어,2022-08-18,"3,300,000",660,20,33,미국,15세이상관람가,공포(호러),퀸 래셔,"이본 스트라호프스키,애비게일 프니오브스키"
1365,가디언즈 오브 갤럭시,2014-07-31,"6,488,400","1,345,257",1,26,미국,12세이상관람가,"액션,어드벤처,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
1371,마인드 유니버스,2023-09-20,"5,530,000",648,12,106,한국,12세이상관람가,"SF,멜로/로맨스,가족",김진무,"이기혁,윤소희,김예랑,김형석,이주실"
1374,캐슬 폴스: 머니 게임,2022-03-17,"5,782,600",646,34,198,미국,15세이상관람가,액션,돌프 룬드그렌,"돌프 룬드그렌,스콧 앳킨스"
1377,캡틴 아메리카: 시빌 워,2016-04-27,"6,784,200","8,678,761",2,31,미국,12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드"
1380,4등,2016-04-13,"5,786,000","40,346",1,8,한국,15세이상관람가,드라마,정지우,"박해준,이항나,유재상,최무성,정가람,유재명,남문철,이혁찬,임유진,이상혁,이승준,최은미,권세정,오대환,권은수,강애심,이중옥,곽자형,김종태"
1384,그을린 사랑,2011-07-21,"2,809,500","69,974",1,14,캐나다,청소년관람불가,드라마,드니 빌뇌브,루브나 아자발
1393,류이치 사카모토: 코다,2018-06-14,"6,691,260","14,960",3,25,일본,전체관람가,다큐멘터리,스티븐 쉬블,사카모토 류이치
1395,파수꾼,2011-03-03,"10,291,000","27,169",2,45,한국,15세이상관람가,드라마,윤성현,"서준영,박정민,조성하,이제훈,이초희,이재연,배제기"
1397,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,"5,985,900","2,736,686",1,22,미국,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
1397,본 투 비 블루,2016-06-09,"5,757,000","95,248",2,34,캐나다,청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
1403,엄마와 나,2022-04-14,"4,281,700",623,7,131,한국,전체관람가,다큐멘터리,연왕모,"김숙년,김일환"
1408,빌리 아일리시: 라이브 앳 디 오투 (확장판),2023-01-27,"15,497,500",620,33,33,미국,12세이상관람가,공연,,
1409,극장판 겁쟁이 페달,2023-02-01,"4,632,297",618,5,109,일본,전체관람가,드라마,미키 코이치로,"이토 켄타로,하시모토 칸나,류세이 료"
1413,존 윅 - 리로드,2017-02-22,"3,716,394","280,069",18,103,미국,청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,이안 맥쉐인,루비 로즈,브리짓 모나핸,피터 스토메어,존 레귀자모,로렌스 피쉬번,데이비드 패트릭 켈리,커먼,랜스 레딕,리카르도 스카마르치오"
1414,명량,2014-07-30,"4,661,500","17,616,299",2,9,한국,15세이상관람가,"사극,액션",김한민,"최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕,김길동,김강일,강태영,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실,주석태,이성우,고경표,김태훈,한이진,신유람,송대중,정원준,정순태"
1414,스피드 : 레이스 1,2022-01-20,"5,501,900",728,16,84,대만,12세이상관람가,액션,,"주걸륜,범일신"
1418,영희,2022-05-01,"1,274,000",612,4,78,한국,15세이상관람가,코미디,차상민,"기은수,서범석,이호철,문서별,황장준,박봉헌,윤가령,박혜숙,박승재,류인아,원호연,이수지,길예진"
1420,미나리,2021-03-03,"3,030,000","1,134,788",1,42,미국,12세이상관람가,드라마,정이삭,"스티븐 연,한예리,윤여정,앨런 김,노엘 조,윌 패튼"
1421,르네에게,2023-12-27,"5,306,939",609,13,92,한국,12세이상관람가,드라마,강승원,"주인영,오정훈"
1423,신입사원: 더 무비,2023-08-03,"4,999,000",608,1,17,한국,15세이상관람가,멜로/로맨스,김조광수,"권혁,문지용,김태영,남규희,백지혜"
1424,통영에서의 하루,2022-11-24,"5,502,700",606,9,66,한국,12세이상관람가,드라마,한경탁,"유인영,조수빈,이미도,박정철,신현탁,최윤화"
1430,희망의 요소,2022-12-29,"4,792,000",598,6,103,한국,12세이상관람가,멜로/로맨스,이원영,"이승훈,김명준,박서은,임영우,임정은,이원영"
1431,교실 안의 야크,2020-09-30,"5,170,400","11,863",8,88,기타,전체관람가,드라마,,
1437,공포분자,2020-09-17,"5,566,000","6,282",2,39,기타,15세이상관람가,드라마,에드워드 양,"무건인,왕 안"
1442,너의 시선이 머무는 곳에,2023-09-06,"8,877,000",592,14,125,한국,12세이상관람가,"드라마,멜로/로맨스",황다슬,"한기찬,장의수,최연청,전재영"
1446,시크릿 카운터,2022-02-17,"5,324,500",687,25,222,일본,15세이상관람가,기타,,"나카무라 토모야,이시바시 시즈카"
1449,분노,2017-03-30,"4,105,927","30,393",5,121,일본,청소년관람불가,스릴러,이상일,"와타나베 켄,모리야마 미라이,마츠야마 켄이치,히로세 스즈,미야자키 아오이,츠마부키 사토시,미우라 타카히로,타카하타 미츠키,이케와키 치즈루,하라 히데코"
1452,애니씽 고즈: 라이브 인 런던,2023-03-08,"10,376,500",585,17,139,영국,12세이상관람가,"뮤지컬,코미디,멜로/로맨스,공연",,
1462,프란시스 하,2014-07-17,"5,662,000","83,635",2,33,미국,15세이상관람가,"코미디,멜로/로맨스",노아 바움백,"그레타 거윅,믹키 섬너,그레이스 검머,아담 드라이버"
1467,킹 오브 킬러스,2023-10-12,"3,636,000",576,30,45,미국,청소년관람불가,"액션,스릴러",,
1467,타이페이 스토리,2019-11-07,"5,462,000","5,678",2,42,대만,15세이상관람가,드라마,에드워드 양,
1472,"미안해요, 리키",2019-12-19,"5,432,400","37,216",8,52,프랑스,12세이상관람가,드라마,켄 로치,"크리스 히친,데비 허니우드,데이브 터너"
